,index,Series,Year,Value,Country
454,AFG,Current account balance (% of GDP),2022,,Afghanistan
456,AGO,Current account balance (% of GDP),2022,11.0,Angola
457,ALB,Current account balance (% of GDP),2022,-7.8,Albania
461,ARG,Current account balance (% of GDP),2022,-0.7,Argentina
462,ARM,Current account balance (% of GDP),2022,0.1,Armenia
464,ATG,Current account balance (% of GDP),2022,-13.4,Antigua and Barbuda
467,AZE,Current account balance (% of GDP),2022,30.5,Azerbaijan
469,BDI,Current account balance (% of GDP),2022,-15.7,Burundi
471,BEN,Current account balance (% of GDP),2022,-5.7,Benin
472,BFA,Current account balance (% of GDP),2022,-5.2,Burkina Faso
473,BGD,Current account balance (% of GDP),2022,-4.1,Bangladesh
477,BIH,Current account balance (% of GDP),2022,-3.8,Bosnia and Herzegovina
478,BLR,Current account balance (% of GDP),2022,4.2,Belarus
479,BLZ,Current account balance (% of GDP),2022,-8.5,Belize
480,BOL,Current account balance (% of GDP),2022,-1.5,Bolivia
481,BRA,Current account balance (% of GDP),2022,-2.9,Brazil
484,BTN,Current account balance (% of GDP),2022,-32.1,Bhutan
485,BWA,Current account balance (% of GDP),2022,3.1,Botswana
486,CAF,Current account balance (% of GDP),2022,-13.3,Central African Republic
492,CHN,Current account balance (% of GDP),2022,2.3,China (People's Republic of)
493,CIV,Current account balance (% of GDP),2022,-6.5,Côte d'Ivoire
495,CMR,Current account balance (% of GDP),2022,-1.6,Cameroon
496,COD,Current account balance (% of GDP),2022,-2.2,Democratic Republic of the Congo
497,COG,Current account balance (% of GDP),2022,21.2,Congo
498,COL,Current account balance (% of GDP),2022,-6.2,Colombia
499,COM,Current account balance (% of GDP),2022,-4.6,Comoros
500,CPV,Current account balance (% of GDP),2022,-7.5,Cabo Verde
501,CRI,Current account balance (% of GDP),2022,-4.3,Costa Rica
506,DJI,Current account balance (% of GDP),2022,-5.0,Djibouti
507,DMA,Current account balance (% of GDP),2022,-26.7,Dominica
509,DOM,Current account balance (% of GDP),2022,-5.8,Dominican Republic
510,DZA,Current account balance (% of GDP),2022,7.2,Algeria
512,ECU,Current account balance (% of GDP),2022,2.2,Ecuador
515,EGY,Current account balance (% of GDP),2022,-3.5,Egypt
516,ERI,Current account balance (% of GDP),2022,12.9,Eritrea
519,ETH,Current account balance (% of GDP),2022,-4.3,Ethiopia
524,FJI,Current account balance (% of GDP),2022,-12.1,Fiji
526,FSM,Current account balance (% of GDP),2022,1.1,Micronesia
527,GAB,Current account balance (% of GDP),2022,1.2,Gabon
529,GEO,Current account balance (% of GDP),2022,-3.1,Georgia
530,GHA,Current account balance (% of GDP),2022,-2.3,Ghana
531,GIN,Current account balance (% of GDP),2022,-6.2,Guinea
532,GMB,Current account balance (% of GDP),2022,-15.0,Gambia
533,GNB,Current account balance (% of GDP),2022,-5.9,Guinea-Bissau
534,GNQ,Current account balance (% of GDP),2022,0.0,Equatorial Guinea
536,GRD,Current account balance (% of GDP),2022,-17.7,Grenada
537,GTM,Current account balance (% of GDP),2022,1.8,Guatemala
538,GUY,Current account balance (% of GDP),2022,27.3,Guyana
540,HND,Current account balance (% of GDP),2022,-3.4,Honduras
542,HTI,Current account balance (% of GDP),2022,-2.3,Haiti
544,IDN,Current account balance (% of GDP),2022,1.0,Indonesia
545,IND,Current account balance (% of GDP),2022,-2.6,India
547,IRN,Current account balance (% of GDP),2022,4.7,Iran
548,IRQ,Current account balance (% of GDP),2022,11.6,Iraq
552,JAM,Current account balance (% of GDP),2022,-3.2,Jamaica
553,JOR,Current account balance (% of GDP),2022,-7.4,Jordan
555,KAZ,Current account balance (% of GDP),2022,2.8,Kazakhstan
556,KEN,Current account balance (% of GDP),2022,-4.7,Kenya
557,KGZ,Current account balance (% of GDP),2022,-26.8,Kyrgyzstan
558,KHM,Current account balance (% of GDP),2022,-26.9,Cambodia
559,KIR,Current account balance (% of GDP),2022,-4.0,Kiribati
563,LAO,Current account balance (% of GDP),2022,-6.0,Lao People's Democratic Republic
564,LBN,Current account balance (% of GDP),2022,,Lebanon
565,LBR,Current account balance (% of GDP),2022,-15.7,Liberia
566,LBY,Current account balance (% of GDP),2022,2.7,Libya
567,LCA,Current account balance (% of GDP),2022,-6.0,Saint Lucia
568,LKA,Current account balance (% of GDP),2022,-1.9,Sri Lanka
569,LSO,Current account balance (% of GDP),2022,-4.4,Lesotho
575,MAR,Current account balance (% of GDP),2022,-4.3,Morocco
576,MDA,Current account balance (% of GDP),2022,-13.1,Moldova
577,MDG,Current account balance (% of GDP),2022,-5.6,Madagascar
578,MDV,Current account balance (% of GDP),2022,-18.1,Maldives
581,MEX,Current account balance (% of GDP),2022,-0.9,Mexico
582,MHL,Current account balance (% of GDP),2022,-7.6,Marshall Islands
583,MKD,Current account balance (% of GDP),2022,-6.0,North Macedonia
584,MLI,Current account balance (% of GDP),2022,-6.9,Mali
586,MMR,Current account balance (% of GDP),2022,-1.4,Myanmar
587,MNE,Current account balance (% of GDP),2022,-13.3,Montenegro
588,MNG,Current account balance (% of GDP),2022,-15.8,Mongolia
589,MOZ,Current account balance (% of GDP),2022,-36.0,Mozambique
590,MRT,Current account balance (% of GDP),2022,-14.3,Mauritania
591,MUS,Current account balance (% of GDP),2022,-13.5,Mauritius
592,MWI,Current account balance (% of GDP),2022,-3.6,Malawi
593,MYS,Current account balance (% of GDP),2022,2.6,Malaysia
594,NAM,Current account balance (% of GDP),2022,-13.5,Namibia
596,NER,Current account balance (% of GDP),2022,-15.5,Niger
597,NGA,Current account balance (% of GDP),2022,-0.7,Nigeria
598,NIC,Current account balance (% of GDP),2022,-2.2,Nicaragua
602,NPL,Current account balance (% of GDP),2022,-12.9,Nepal
603,NRU,Current account balance (% of GDP),2022,-0.6,Nauru
608,PAK,Current account balance (% of GDP),2022,-4.6,Pakistan
609,PAN,Current account balance (% of GDP),2022,-4.1,Panama
610,PER,Current account balance (% of GDP),2022,-4.5,Peru
611,PHL,Current account balance (% of GDP),2022,-4.4,Philippines
613,PLW,Current account balance (% of GDP),2022,-69.6,Palau
614,PNG,Current account balance (% of GDP),2022,34.0,Papua New Guinea
617,PRY,Current account balance (% of GDP),2022,-5.2,Paraguay
621,RWA,Current account balance (% of GDP),2022,-11.6,Rwanda
624,SDN,Current account balance (% of GDP),2022,-6.2,Sudan
625,SEN,Current account balance (% of GDP),2022,-16.0,Senegal
628,SLB,Current account balance (% of GDP),2022,-13.3,Solomon Islands
629,SLE,Current account balance (% of GDP),2022,-10.3,Sierra Leone
630,SLV,Current account balance (% of GDP),2022,-8.3,El Salvador
633,SOM,Current account balance (% of GDP),2022,-16.8,Somalia
634,SRB,Current account balance (% of GDP),2022,-6.9,Serbia
636,SSD,Current account balance (% of GDP),2022,6.7,South Sudan
638,STP,Current account balance (% of GDP),2022,-13.8,Sao Tome and Principe
639,SUR,Current account balance (% of GDP),2022,-1.7,Suriname
643,SWZ,Current account balance (% of GDP),2022,-1.7,Eswatini
645,SYR,Current account balance (% of GDP),2022,,Syrian Arab Republic
646,TCD,Current account balance (% of GDP),2022,2.8,Chad
647,TGO,Current account balance (% of GDP),2022,-2.8,Togo
648,THA,Current account balance (% of GDP),2022,-3.3,Thailand
649,TJK,Current account balance (% of GDP),2022,6.2,Tajikistan
650,TKM,Current account balance (% of GDP),2022,5.7,Turkmenistan
651,TLS,Current account balance (% of GDP),2022,-4.7,Timor-Leste
652,TON,Current account balance (% of GDP),2022,-6.3,Tonga
654,TUN,Current account balance (% of GDP),2022,-8.5,Tunisia
655,TUR,Current account balance (% of GDP),2022,-5.4,Türkiye
656,TUV,Current account balance (% of GDP),2022,4.1,Tuvalu
658,TZA,Current account balance (% of GDP),2022,-4.6,Tanzania
659,UGA,Current account balance (% of GDP),2022,-8.1,Uganda
660,UKR,Current account balance (% of GDP),2022,5.7,Ukraine
664,UZB,Current account balance (% of GDP),2022,1.4,Uzbekistan
665,VCT,Current account balance (% of GDP),2022,-22.9,Saint Vincent and the Grenadines
666,VEN,Current account balance (% of GDP),2022,3.5,Venezuela
667,VNM,Current account balance (% of GDP),2022,-0.9,Viet Nam
668,VUT,Current account balance (% of GDP),2022,-2.2,Vanuatu
673,WSM,Current account balance (% of GDP),2022,-11.6,Samoa
674,YEM,Current account balance (% of GDP),2022,-9.6,Yemen
675,ZAF,Current account balance (% of GDP),2022,-0.5,South Africa
676,ZMB,Current account balance (% of GDP),2022,2.4,Zambia
677,ZWE,Current account balance (% of GDP),2022,0.8,Zimbabwe
680,AFG,Change of average inflation rate consumer prices (in %),2022,,Afghanistan
682,AGO,Change of average inflation rate consumer prices (in %),2022,21.4,Angola
683,ALB,Change of average inflation rate consumer prices (in %),2022,6.7,Albania
687,ARG,Change of average inflation rate consumer prices (in %),2022,72.4,Argentina
688,ARM,Change of average inflation rate consumer prices (in %),2022,8.7,Armenia
690,ATG,Change of average inflation rate consumer prices (in %),2022,7.5,Antigua and Barbuda
693,AZE,Change of average inflation rate consumer prices (in %),2022,13.8,Azerbaijan
695,BDI,Change of average inflation rate consumer prices (in %),2022,18.9,Burundi
697,BEN,Change of average inflation rate consumer prices (in %),2022,1.5,Benin
698,BFA,Change of average inflation rate consumer prices (in %),2022,14.1,Burkina Faso
699,BGD,Change of average inflation rate consumer prices (in %),2022,6.1,Bangladesh
703,BIH,Change of average inflation rate consumer prices (in %),2022,14.0,Bosnia and Herzegovina
704,BLR,Change of average inflation rate consumer prices (in %),2022,14.8,Belarus
705,BLZ,Change of average inflation rate consumer prices (in %),2022,6.3,Belize
706,BOL,Change of average inflation rate consumer prices (in %),2022,1.7,Bolivia
707,BRA,Change of average inflation rate consumer prices (in %),2022,9.3,Brazil
710,BTN,Change of average inflation rate consumer prices (in %),2022,5.9,Bhutan
711,BWA,Change of average inflation rate consumer prices (in %),2022,12.2,Botswana
712,CAF,Change of average inflation rate consumer prices (in %),2022,5.8,Central African Republic
718,CHN,Change of average inflation rate consumer prices (in %),2022,1.9,China (People's Republic of)
719,CIV,Change of average inflation rate consumer prices (in %),2022,5.2,Côte d'Ivoire
721,CMR,Change of average inflation rate consumer prices (in %),2022,5.3,Cameroon
722,COD,Change of average inflation rate consumer prices (in %),2022,9.0,Democratic Republic of the Congo
723,COG,Change of average inflation rate consumer prices (in %),2022,3.5,Congo
724,COL,Change of average inflation rate consumer prices (in %),2022,10.2,Colombia
725,COM,Change of average inflation rate consumer prices (in %),2022,12.0,Comoros
726,CPV,Change of average inflation rate consumer prices (in %),2022,7.9,Cabo Verde
727,CRI,Change of average inflation rate consumer prices (in %),2022,8.3,Costa Rica
732,DJI,Change of average inflation rate consumer prices (in %),2022,5.5,Djibouti
733,DMA,Change of average inflation rate consumer prices (in %),2022,7.5,Dominica
735,DOM,Change of average inflation rate consumer prices (in %),2022,8.8,Dominican Republic
736,DZA,Change of average inflation rate consumer prices (in %),2022,9.3,Algeria
738,ECU,Change of average inflation rate consumer prices (in %),2022,3.5,Ecuador
741,EGY,Change of average inflation rate consumer prices (in %),2022,8.5,Egypt
742,ERI,Change of average inflation rate consumer prices (in %),2022,7.4,Eritrea
745,ETH,Change of average inflation rate consumer prices (in %),2022,33.9,Ethiopia
750,FJI,Change of average inflation rate consumer prices (in %),2022,4.5,Fiji
